name,price,status,shipping,free_returns,items_sold
2024 Topps Chrome McDonald’s All American Pick Base & Insert - Buy More & Save,129399,Pre-Owned,25,False,False
2024-25 Donruss Basketball Singles You Pick Complete your Set # 1-200,99297,Pre-Owned,129,False,False
2016-17 Panini Aficionado Basketball Card Pick (Base),991000,Pre-Owned,150,True,False
Nike LeBron Soldier XIV 14 'Lakers' Purple/Solar Flare CK6024-500 Mens Size 10.5,7500,New (Other),1495,False,False
New Listing,13900,Brand New,1495,False,False
LeBron James More or I Promise Silicone Bracelet 5 Colors To Choose From ,799,Brand New,0,False,68
New Listing,12400,New (Other),1495,True,False
New Listing,9900,New (Other),1495,False,False
2012-13 Prestige Basketball Card Pick (Base),99400,Pre-Owned,150,True,False
New Listing,11900,New (Other),1495,True,False
Zuru Surprise NBA Ballers Tatum LeBron Durant March Madness You Pick,10001300,Brand New,450,False,False
2013-14 Hoops Class Action Basketball Card Pick (Inserts),99500,Pre-Owned,150,True,False
Nike LeBron 10 Prism Basketball Sneakers Shoes Size 10,8800,Pre-Owned,978,False,False
Size 6 Nike Lebron 19 EP Space JamTune Squad,1800,Pre-Owned,1171,False,False
Nike Lebron XVI 16 Superman Superbron Men’s Sz 4,14000,New (Other),1495,False,False
Men's Size 8.5 - Nike Zoom LeBron NXXT Gen EP I Promise Orange And Blue,3000,Pre-Owned,600,False,False
2023-24 Panini Donruss Basketball Zero Gravity Press Proof LeBron James Card #9,299,Pre-Owned,199,False,False
B6255- 2023-24 Hoops Premium Stock Assorted Inserts -You Pick- 15+ FREE US SHIP,1351352,Pre-Owned,69,True,False
2008-09 Topps Basketball Card Pick (Inserts),1251500,Pre-Owned,150,True,False
Nike Zoom Lebron NXXT Gen x Faze Clan Mens Sizes Bred Black Red Shoes DR8784-001,7996,Brand New,0,False,False
Nike Zoom LeBron NXXT Gen size 9 9.5 Blue Orange Basketball DR8784-900 i promise,10489,Brand New,1495,False,False
New Listing,8000,Brand New,1495,False,False
Nike Lebron 21 Aragonite (Denim Colorway) Size 9.5,8075,Pre-Owned,1264,False,False
Nike Zoom LeBron NXXT Gen Black Soft Pink Mens Size 11.5 White DR8784 003,8924,Brand New,1495,True,False
New Listing,2000,Pre-Owned,999,True,False
2021-22 Panini Illusions Basketball Card Pick (Base),99600,Pre-Owned,150,True,False
New Listing,6500,Pre-Owned,1171,False,False
2021-22 Panini Prizm Prizmatic Prizm #25 Lebron James Los Angeles Lakers SP,1250,Pre-Owned,395,False,False
New Listing,5499,Brand New,1099,False,False
"Nike Lebron 19 Low Shoes ""Safari"" Rattan Sail Black DM1058-200 Men's",7500,Brand New,1495,True,False
2023-24 Panini MONOPOLY PRIZM Basketball ALL STAR Insert You Pick Complete Set,100,Pre-Owned,100,False,False
New Listing,18000,Brand New,1495,False,False
2024-25 Panini NBA Hoops Base #1-300 Pick Your Card,99175,Pre-Owned,25,True,False
2020-21 Donruss Optic Basketball Card Pick (Base),995000,Pre-Owned,150,True,False
2023-24 Panini Donruss Retro Series LeBron James #13,318,Pre-Owned,299,False,False
Nike LeBron 21 Aragonite  HF5467-300 XX1 XXI size 15 mens washed denim blue NEW,9998,Brand New,1495,False,False
New Listing,3500,Pre-Owned,1099,True,False
New Listing,14500,Pre-Owned,1495,False,False
Nike LeBron XXI Aragonite Jade Ice Emerald Rise Denim HF5467-300 Mens Size 13,9982,New (Other),1495,True,False
New Listing,3000,Pre-Owned,1960,False,False
New Listing,7499,New (Other),1960,False,False
2020-21 PANINI INSTANT LEBRON JAMES CHRISTMAS DAY 2nd Leading Scorer SP 200 Made,999,False,150,False,False
NIKE LEBRON VII QS 7 MVP WHITE BRONZE TEAM RED GOLD CAVS JAMES CZ8915 100 sz 15,19999,Brand New,1495,False,False
Nike Lebron NXXT Genisus EP Hyper Turquoise Court Purple Bright Mango HF0711-300,11900,Brand New,1999,False,False
New Listing,5000,Pre-Owned,1067,False,False
2023-24 Panini NBA Hoops Hoops Tribute LeBron James #290,115138,Pre-Owned,299,False,False
2024-25 PANINI PRIZM NBA - BASE VETS ROOKIES - #1-300 - COMPLETE YOUR SET! PYC!,99198,Pre-Owned,0,False,False
2023-24 PANINI REVOLUTION BASKETBALL ❄WINTER❄ 1-150 - YOU PICK - COMPLETE SETS,100400,Pre-Owned,125,False,False
Los Angeles Lakers LeBron James #23 Statement Authentic Jersey MENS SIZE 40,11000,Brand New,0,False,False
New Listing,2999,Pre-Owned,999,False,False
New Listing,25000,Brand New,2500,False,False
New Listing,14500,Pre-Owned,1495,False,False
NIB Mens Nike Lebron Witness VIII Black White University Red FB2239 005,7499,Brand New,0,False,False
Lebron James Trading Cards - Pick Your Card - Rookies/Parallels/Inserts,175400,Pre-Owned,64,True,False
2023-2024 Prizm Monopoly Basketball - Inserts and Parallels,135150,Pre-Owned,0,False,False
2021-22 PANINI NBA INSTANT LeBron JAMES 1st PLAYER 30k Pts 10k Reb 9k Asst Card,799,Pre-Owned,150,False,False
NEW Nike LeBron Florida A&M Rattlers Hoodie Men’s Size Small Green Orange FAMU,2988,Brand New,1320,False,False
"Nike Lebron Witness VII TB Basketball Shoes. Mens Sz 11.5, Wmns 13, DZ3299-600",7295,New (Other),1620,False,False
Lebron Soldier XI size 10.5,30000,Brand New,1910,False,False
Nike LeBron 5 All Star Game Sz 11,12000,Pre-Owned,1495,False,False
Nike LeBron’s 17 Lakers ,4000,Pre-Owned,1910,False,False
Nike LeBron 5 All Star Game Sz 11,12000,Pre-Owned,1495,False,False
New Listing,10000,Pre-Owned,1495,False,False
NEW Nike Lebron 13 Black Lion - sz 9 - NO BOX - 807219-001,15000,New (Other),1495,False,False
2023-2024 Prizm Monopoly Basketball - Inserts and Parallels,135150,Pre-Owned,0,False,False
2021-22 PANINI NBA INSTANT LeBron JAMES 1st PLAYER 30k Pts 10k Reb 9k Asst Card,799,Pre-Owned,150,False,False
Los Angeles Lakers 3x5 Banner Flag Black Basketball NBA Grommets Lebron Kobe New,1347,Brand New,0,False,55
2021-22 Prizm Basketball Veteran BASE 1-241 You Pick the Card,99299,Pre-Owned,0,False,False
Funko Pop Space Jam LeBron James #1059 & Bugs Bunny #1060,276,Brand New,650,False,False
New Listing,11499,New (Other),1495,False,False
"Nike Lebron Witness VII TB Basketball Shoes. Mens Sz 11.5, Wmns 13, DZ3299-600",7295,New (Other),1620,False,False
New Listing,11000,Pre-Owned,1495,False,False
Size 14 - Nike LeBron 17 x Uninterrupted More Than An Athlete 2019,13995,Pre-Owned,1495,False,False
Nike Lebron XXI  Cool Gray / Metallic Silver New With Box,15000,Brand New,1495,False,False
Nike LeBron 19 Basketball Shoes,13999,Brand New,1495,False,False
Nike LeBron XXI Mens Sizes Aragonite Jade Ice Emerald Rise HF5467-300,11549,New (Other),1495,False,False
2020-21 Panini Illusions Basketball Card Pick (Base),99500,Pre-Owned,150,True,False
Zuru 5 Surprise NBA Ballers ~ You Pick ~,7002400,Brand New,550,False,25
New Listing,10499,New (Other),1495,True,False
New Listing,30000,Brand New,1495,False,False
Nike Zoom Lebron 2 Midnight Navy Basketball Sneakers DR0826-100 Men's Shoe Size,1499716497,Brand New,1495,False,False
New Listing,3999,Pre-Owned,1655,False,False
Nike LeBron XX “Total Orange/Vivid Purple” - Size 8 - Brand New - DJ5423800,8500,Brand New,1495,False,False
NEW Lebron XX Men's Size 11 Black/Metallic Gold-White DJ5423-003 Fast Shipping,14249,New (Other),1495,False,False
New Listing,6497,Brand New,0,False,False
New Listing,2700,Pre-Owned,1067,False,False
Nike Air Zoom LeBron NXXT Gen Black White Red Basketball DR8784-001 Mens Size,6999,Brand New,0,True,False
2023-24 Topps Chrome Sapphire Basketball Pick Your Player 1-200,1501500,Pre-Owned,0,False,False
Nike Zoom Lebron NXXT Gen 'Track Red' DR8784-600 Basketball Men’s Size 10.5,12999,New (Other),1495,False,False
Nike Lebron XIX 19 White/Metallic Gold-Black Size 9 D (M),26080,New (Other),1495,False,False
Nike Lebron Nexxt Gen Black/Red Faze  Basketball Men's Shoe Size 8.5 DR8784 001,2999,Pre-Owned,657,False,False
NIKE LEBRON XV 15 BHM LIMITED MULTI COLOR-BLACK SZ 10 RARE!! [897650-900],29999,Brand New,1495,True,False
"New Lebron James #23 Basketball Jersey Adult Fan Sewned White Jersey,S-XXL",4680,Brand New,0,False,False
Strideline Lebron James Galaxy CFS Socks  M/L Size 8-12  1pair - NEW & RARE,1097,Brand New,0,True,12
LEBRON JAMES 2020-21 Panini Contenders Basketball #81 Lakers,225,Pre-Owned,0,False,False
New Listing,6000,Pre-Owned,1600,False,False
New Listing,6499,Pre-Owned,1094,False,False
New Listing,3499,Pre-Owned,1067,False,False
Nike Zoom Lebron Nxxt Gen Tb Promo Team Orange-White Sz 10 [FN7092-801],11999,New (Other),1495,True,False
NIKE LEBRON XVIII 18 JAMES BLACK/PINK BLAST-MULTI-COLOR MEN'S 9.5 [CQ9283-002],12459,Brand New,1495,False,False
Nike Lebron IX,15000,New (Other),1495,False,False
New Listing,9999,New (Other),1495,False,False
New Listing,2500,Pre-Owned,1425,False,False
New Listing,5499,Brand New,1099,False,False
New Listing,6999,Brand New,701,False,False
Lebron 10,17000,New (Other),1495,False,False
LeBron 12 Double Helix,4500,Pre-Owned,1170,False,False
Nike Lebron XIX 19 Basketball Black/Green Glow Men shoes CZ0203 003 size 12,19995,Brand New,1495,False,False
2023-24 Donruss NBA Basketball Base #1-250 Complete Your Set Pick Your Card,99199,Pre-Owned,69,False,False
2024 PANINI PRIZM DRAFT PICKS - BASE - VARIATIONS - INSERTS - PYC! FREE SHIPPING,99424,Pre-Owned,0,False,False
New Listing,5000,New (Other),1440,False,False
New Listing,12500,New (Other),1495,True,False
